tr_loss,tr_acc,vl_loss,vl_acc
1.8248756832748878,0.36259541984732824,1.799131228373601,0.4807692307692308
1.3863931912502259,0.6793893129770993,1.1098941289461577,0.75
0.8996739105413888,0.9083969465648855,0.631758873279278,0.9423076923076923
0.6093473024950683,0.9770992366412213,0.5136371209071233,0.9807692307692307
0.5449252092201291,0.9694656488549618,0.5003164341816535,0.9807692307692307
0.4938147218172787,1.0,0.4681514111848978,1.0
0.5011510535050895,0.9923664122137404,0.4764433021728809,1.0
0.517468873326105,0.9809160305343512,0.4838301929143759,1.0
0.5035720217318935,0.9885496183206107,0.4774725047441629,0.9807692307692307
0.4970419036068079,0.9961832061068703,0.4643060312821315,1.0
0.4864225287473839,0.9923664122137404,0.4644963191105769,1.0
0.4747873899590878,1.0,0.46303730744581956,1.0
0.4896106151224093,0.9961832061068703,0.4640974196103903,1.0
0.492934150322703,0.9923664122137404,0.4682966470718384,0.9807692307692307
0.4870201240059074,0.9961832061068703,0.45999550131651074,1.0
0.4824868467927889,0.9961832061068703,0.45834208910281843,1.0
0.4800134924531893,0.9961832061068703,0.4561483607842372,1.0
0.47759813707293447,0.9961832061068703,0.4543862228210156,1.0
